특징,밴드,정규화,모델,학습 정확도 (Trial),학습 정확도 (Epoch),테스트 정확도 (Trial),테스트 정확도 (Epoch)
F_mean_3d_Fz,theta,None,Random Forest,0.6933,0.5816,0.57,0.5771
F_peak_3d,delta,None,Random Forest,0.8667,0.7301,0.59,0.5771
F_peak_3d_F8,gamma,None,Linear SVM,0.5333,0.5398,0.57,0.5771
F_peak_3d_Fz,beta,None,KNN,0.9667,0.7071,0.66,0.5771
F_peak_3d_1area,beta,None,Linear SVM,0.6067,0.5621,0.59,0.5757
F_peak_3d_3area,beta,None,Linear SVM,0.6133,0.5869,0.59,0.5757
F_de_3d_10rm,delta,None,XGBoost,0.9733,0.8175,0.63,0.5757
F_peak_3d_Fz,beta,None,Ensemble (Majority Vote),0.6867,0.6285,0.58,0.5757
F_peak_3d_F8,gamma,None,Logistic Regression,0.5333,0.5393,0.57,0.5757
F_peak_3d_Fz,beta,None,XGBoost,0.6467,0.5989,0.56,0.5757
F_median_3d19,gamma,norm3,Linear SVM,0.8067,0.6793,0.61,0.5757
F_mean_3d,beta,norm2,Ensemble (Majority Vote),0.94,0.7308,0.62,0.5743
F_mean_3d_Fz,all,None,XGBoost,0.8867,0.7002,0.56,0.5743
F_peak_3d_1area,beta,None,Logistic Regression,0.6067,0.5621,0.59,0.5743
F_de_3d_F3,delta,None,Ensemble (Majority Vote),0.7067,0.6067,0.62,0.5743
F_median_3d_Fz,all,norm3,Linear SVM,0.6267,0.5733,0.58,0.5743
F_de_3d_F3,beta,None,Ensemble (Majority Vote),0.7267,0.6336,0.6,0.5729
F_de_3d,beta,None,Logistic Regression,0.76,0.6657,0.61,0.5729
F_de_3d_8rm,theta,None,Logistic Regression,0.7067,0.6156,0.6,0.5729
F_de_3d_F3,all,None,Linear SVM,0.62,0.6051,0.6,0.5729
F_mean_3d,beta,norm2,KNN,0.9933,0.7085,0.67,0.5729
F_mean_3d_Fz,theta,None,XGBoost,0.64,0.5692,0.58,0.5729
F_de_3d_10rm,delta,None,Ensemble (Majority Vote),0.8933,0.7639,0.61,0.5729
F_mean_3d,beta,None,Random Forest,0.88,0.7556,0.61,0.5714
F_peak_3d19,gamma,None,XGBoost,1.0,0.9136,0.54,0.5714
F_mean_3d_8rm,theta,norm3,Ensemble (Majority Vote),0.82,0.6851,0.59,0.5714
F_de_3d_Fp1,alpha,None,Linear SVM,0.5267,0.5216,0.6,0.5714
F_mean_3d19,gamma,None,Ensemble (Majority Vote),0.9733,0.8048,0.59,0.5714
F_de_3d_Fz,alpha,None,Linear SVM,0.5733,0.5428,0.57,0.5714
F_mean_3d19,all,None,Logistic Regression,0.9867,0.8377,0.58,0.5714
F_median_3d_Fz,alpha,None,Random Forest,0.6933,0.589,0.58,0.5714
F_de_3d,beta,norm3,Random Forest,0.8533,0.748,0.62,0.5714
F_de_3d19,gamma,None,XGBoost,1.0,0.9037,0.61,0.5714
F_de_3d_8rm,theta,norm3,Logistic Regression,0.6733,0.6094,0.6,0.5714
F_median_3d_Fz,all,norm3,Logistic Regression,0.6267,0.5747,0.58,0.5714
F_peak_3d_1area,all,norm3,Logistic Regression,0.58,0.5977,0.6,0.5714
F_de_3d19,gamma,norm3,Ensemble (Majority Vote),0.9733,0.8207,0.62,0.5714
F_peak_3d_Fz,theta,None,XGBoost,0.6267,0.5853,0.6,0.57
F_mean_3d_Fz,alpha,None,Logistic Regression,0.58,0.5416,0.55,0.57
F_mean_3d_Fz,alpha,None,Linear SVM,0.58,0.5414,0.55,0.57
F_rasm_3d_8rm,all,None,XGBoost,1.0,0.808,0.66,0.57
F_mean_3d_Fz,all,None,Random Forest,0.7667,0.6733,0.6,0.57
F_de_3d_8rm,theta,norm3,Linear SVM,0.6667,0.6083,0.6,0.57
F_rasm_3d19,all,norm3,XGBoost,1.0,0.9786,0.64,0.57
F_mean_3d_F8,theta,None,Linear SVM,0.5667,0.5228,0.53,0.57
F_mean_3d19,gamma,norm3,XGBoost,1.0,0.8786,0.6,0.57
F_de_3d_10rm,beta,None,XGBoost,0.98,0.8182,0.63,0.57
F_mean_3d_F8,theta,None,Logistic Regression,0.5667,0.523,0.53,0.5686
F_de_3d_Fz,alpha,None,Logistic Regression,0.5733,0.543,0.57,0.5686
F_mean_3d,beta,norm2,XGBoost,0.9867,0.754,0.62,0.5686
F_mean_3d_Fz,beta,None,Ensemble (Majority Vote),0.7667,0.631,0.61,0.5686
F_mean_3d_10rm,beta,None,Ensemble (Majority Vote),0.9,0.7561,0.61,0.5686
F_peak_3d_2area,beta,None,Linear SVM,0.58,0.5683,0.59,0.5686
F_mean_3d19,delta,norm3,Random Forest,0.9133,0.772,0.6,0.5686
F_de_3d_Fp1,alpha,None,Logistic Regression,0.5067,0.5149,0.6,0.5686
F_de_3d19,gamma,None,Random Forest,0.9067,0.7867,0.6,0.5686
F_de_3d_T8,beta,None,Ensemble (Majority Vote),0.68,0.6106,0.58,0.5686
F_rasm_3d_8rm,alpha,None,Ensemble (Majority Vote),0.8,0.6531,0.59,0.5671
F_rasm_3d_8rm,all,None,Random Forest,0.9667,0.7237,0.61,0.5671
F_median_3d_F7,gamma,None,XGBoost,0.68,0.5818,0.58,0.5671
