특징,밴드,정규화,모델,학습 정확도 (Trial),학습 정확도 (Epoch),테스트 정확도 (Trial),테스트 정확도 (Epoch)
F_dasm_3d_8rm,all,norm3,Logistic Regression,0.7533,0.6729,0.57,0.5457
F_mean_3d_Fp2,alpha,None,Linear SVM,0.5467,0.5283,0.54,0.5457
F_mean_3d_8rm,alpha,norm3,XGBoost,0.8067,0.6834,0.57,0.5457
F_de_3d_10rm,alpha,norm3,Random Forest,0.8133,0.6853,0.59,0.5457
F_peak_3d_Cz,gamma,None,Ensemble (Majority Vote),0.7267,0.6262,0.56,0.5457
F_peak_3d_Cz,gamma,None,Random Forest,0.7333,0.6101,0.58,0.5457
F_mean_3d_T8,delta,norm2,KNN,0.9867,0.6936,0.6,0.5457
F_peak_3d_F4,beta,None,Logistic Regression,0.5,0.5133,0.59,0.5457
F_peak_3d19,alpha,None,Linear SVM,0.7533,0.6538,0.56,0.5457
F_mean_3d_T8,delta,norm3,KNN,0.9867,0.6936,0.6,0.5457
F_mean_3d_Fz,gamma,None,Logistic Regression,0.4933,0.5172,0.54,0.5457
F_rasm_3d_10rm,delta,norm3,Random Forest,0.8,0.7037,0.57,0.5457
F_de_3d_C3,theta,norm3,KNN,0.9867,0.6811,0.6,0.5457
F_mean_3d_Fp2,all,norm3,Random Forest,0.7667,0.6434,0.55,0.5443
F_de_3d_C3,all,norm2,Ensemble (Majority Vote),0.86,0.6683,0.61,0.5443
F_rasm_3d_10rm,theta,norm2,Ensemble (Majority Vote),0.8733,0.7205,0.57,0.5443
F_rasm_3d,gamma,None,Linear SVM,0.52,0.5032,0.54,0.5443
F_peak_3d_3area,delta,norm3,Logistic Regression,0.6133,0.5607,0.55,0.5443
F_peak_3d_3area,beta,None,XGBoost,0.6867,0.6395,0.54,0.5443
F_peak_3d_Fp2,all,norm3,Ensemble (Majority Vote),0.84,0.6805,0.57,0.5443
F_de_3d_10rm,alpha,None,Linear SVM,0.6333,0.5924,0.58,0.5443
F_de_3d_F8,all,norm2,KNN,0.9867,0.6977,0.59,0.5443
F_peak_3d_Fp2,all,norm3,Random Forest,0.82,0.6766,0.58,0.5443
